lemma	pos	#_semcor	#_omsti	#_omsti_sample
favor	n	17	16	16
guest	n	25	142	142
democrat	n	5	0	0
end	n	133	1212	1000
thursday	n	13	0	0
complaint	n	4	0	0
Saturday	n	0	0	0
match	n	7	0	0
Professor	n	0	0	0
stability	n	6	0	0
heading	n	1	0	0
surgeon	n	9	0	0
use	n	114	1158	1000
tie	n	14	0	0
rest	n	49	928	928
fear	n	65	968	968
last_minute	n	0	0	0
edition	n	5	0	0
Nobel_prize	n	0	0	0
couple	n	29	823	823
lender	n	0	0	0
figure	n	167	1699	1000
form	n	233	1479	1000
capital	n	22	1165	1000
kind	n	117	0	0
scoreboard	n	1	0	0
factor	n	44	1822	1000
sideline	n	0	0	0
research	n	52	500	500
comment	n	25	0	0
hegemony	n	0	0	0
rise	n	15	0	0
fannie_mae	n	0	0	0
striker	n	0	0	0
competitor	n	7	0	0
nobility	n	2	0	0
State	n	0	0	0
developing_country	n	0	0	0
defense	n	34	675	675
supreme_court	n	2	0	0
gathering	n	7	0	0
territory	n	8	0	0
journalist	n	4	0	0
dispute	n	2	0	0
opponent	n	3	0	0
night	n	152	801	801
confidence	n	15	0	0
outlet	n	4	0	0
customer	n	25	0	0
fairness	n	1	0	0
inclusion	n	0	0	0
draft	n	3	0	0
technician	n	3	0	0
height	n	17	0	0
Congress	n	0	0	0
courtroom	n	0	0	0
report	n	71	964	964
proximity	n	0	0	0
review	n	7	0	0
people	n	282	1090	1000
european_country	n	1	0	0
service	n	46	1604	1000
superior_court	n	0	0	0
committee	n	17	497	497
violator	n	0	0	0
Iraq	n	0	0	0
high_court	n	0	0	0
circus	n	2	0	0
hall	n	44	49	49
release	n	16	0	0
fund	n	31	498	498
migration	n	2	0	0
narrow_margin	n	0	0	0
two_dozen	n	0	0	0
evening	n	36	565	565
energy	n	42	1571	1000
track	n	8	0	0
drought	n	6	0	0
journal	n	3	0	0
concentration	n	38	0	0
challenge	n	7	0	0
investment	n	12	0	0
negotiation	n	2	0	0
manager	n	50	487	487
latin_america	n	3	0	0
provocation	n	1	0	0
